pct_of_hours,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
42.0,40.19,33.76,83.61,229.98,103.76,85.3,98.45,113.09,,,,,,,,,,50.5,37.2,99.05,176.0,99.64,76.41,80.4,64.81,,,,,,,,,,50.55,37.21,99.19,176.07,99.7,76.15,80.4,64.56,,,,,,,,,,41.02,35.28,87.1,265.0,103.92,67.08,72.13,83.3,,,,,,,,,,54.15,41.09,109.2,290.0,128.68,110.06,119.97,137.55,,,,,,,,,
43.0,39.97,33.38,82.2,227.07,102.88,84.65,97.8,111.97,,,,,,,,,,50.33,37.0,97.86,174.77,98.95,75.0,79.46,62.94,,,,,,,,,,50.45,37.0,97.91,174.96,99.0,75.0,79.43,62.56,,,,,,,,,,40.81,35.0,85.84,261.3,103.06,65.97,70.78,81.99,,,,,,,,,,53.84,40.75,106.86,286.46,127.92,109.93,119.22,136.74,,,,,,,,,
44.0,39.74,33.06,81.07,224.15,102.02,83.88,97.2,111.12,,,,,,,,,,50.12,36.69,96.01,172.54,97.79,73.74,78.0,61.07,,,,,,,,,,50.24,36.7,96.08,172.77,97.96,73.55,78.0,60.49,,,,,,,,,,40.39,34.65,84.71,258.08,102.19,65.0,69.43,80.43,,,,,,,,,,53.42,40.35,105.0,281.98,126.83,109.31,118.51,136.05,,,,,,,,,
45.0,39.43,32.78,80.09,220.69,101.22,83.12,96.5,110.2,,,,,,,,,,50.0,36.28,95.0,170.9,96.85,71.99,76.75,58.77,,,,,,,,,,50.1,36.29,95.0,171.04,96.94,71.94,76.78,57.94,,,,,,,,,,40.01,34.21,83.67,254.94,101.3,63.86,68.11,78.62,,,,,,,,,,53.01,40.0,102.94,278.48,125.92,108.77,117.9,135.45,,,,,,,,,
46.0,39.13,32.4,79.37,218.35,100.54,82.25,95.7,109.31,,,,,,,,,,49.94,36.05,93.46,169.89,95.62,70.8,75.43,55.37,,,,,,,,,,50.0,36.06,93.51,170.0,95.7,70.74,75.47,54.53,,,,,,,,,,39.76,33.95,82.35,251.74,100.44,62.72,66.5,76.82,,,,,,,,,,52.75,39.8,101.34,275.17,125.0,108.12,117.25,135.0,,,,,,,,,
47.0,38.95,32.04,78.34,215.28,100.0,81.61,94.95,108.72,,,,,,,,,,49.62,35.65,92.54,168.0,95.0,69.82,73.84,53.55,,,,,,,,,,49.87,35.66,92.54,168.52,95.0,69.74,73.9,52.57,,,,,,,,,,39.44,33.5,81.2,248.89,99.99,61.67,64.85,74.72,,,,,,,,,,52.46,39.48,99.82,272.47,124.38,107.54,116.66,134.38,,,,,,,,,
48.0,38.68,31.71,77.6,212.86,99.36,80.92,94.07,107.77,,,,,,,,,,49.39,35.18,91.46,166.38,94.0,68.0,72.07,50.62,,,,,,,,,,49.53,35.21,91.45,166.78,94.09,68.0,72.18,49.18,,,,,,,,,,39.1,33.1,80.09,245.26,99.18,60.67,63.18,73.01,,,,,,,,,,52.08,39.14,98.14,268.96,123.71,106.99,115.92,133.8,,,,,,,,,
49.0,38.38,31.31,76.49,210.27,98.74,80.16,93.26,106.98,,,,,,,,,,49.07,34.99,90.05,164.99,93.08,65.88,70.76,47.54,,,,,,,,,,49.2,35.0,90.07,165.02,93.32,66.01,70.77,45.85,,,,,,,,,,38.94,32.8,79.46,241.93,98.38,59.82,61.41,70.51,,,,,,,,,,51.78,38.87,96.09,266.51,123.0,106.39,115.21,133.08,,,,,,,,,
50.0,38.06,30.99,75.48,208.34,98.02,79.58,92.43,105.69,,,,,,,,,,48.95,34.62,89.5,163.54,92.13,64.79,69.97,44.05,,,,,,,,,,49.0,34.64,89.5,163.95,92.5,64.93,69.99,42.64,,,,,,,,,,38.65,32.37,78.46,239.34,97.7,58.81,60.0,68.32,,,,,,,,,,51.4,38.47,94.52,264.26,122.06,105.83,114.99,132.58,,,,,,,,,
51.0,37.87,30.59,74.59,205.65,97.28,78.87,91.73,104.83,,,,,,,,,,48.63,34.22,88.59,161.62,91.59,62.72,68.64,41.02,,,,,,,,,,48.87,34.27,88.61,162.12,91.82,63.09,68.64,39.63,,,,,,,,,,38.34,32.01,77.72,236.91,96.93,57.69,58.02,66.31,,,,,,,,,,51.05,38.1,92.43,261.13,121.32,105.22,114.47,131.83,,,,,,,,,
52.0,37.56,30.21,73.5,202.71,96.65,77.97,91.0,104.11,,,,,,,,,,48.43,34.01,87.34,160.38,90.78,61.0,66.71,38.52,,,,,,,,,,48.56,34.01,87.34,160.96,91.0,61.28,66.62,36.43,,,,,,,,,,38.03,31.66,76.39,233.6,96.02,56.6,56.01,64.63,,,,,,,,,,50.77,37.85,90.24,258.9,120.3,105.0,114.0,130.94,,,,,,,,,
53.0,37.32,29.95,72.08,200.0,95.9,77.05,90.41,103.08,,,,,,,,,,48.11,33.6,86.6,159.68,90.08,60.0,65.0,35.85,,,,,,,,,,48.34,33.64,86.6,160.0,90.3,60.0,65.0,35.01,,,,,,,,,,37.8,31.16,75.3,230.63,95.13,55.41,53.95,62.56,,,,,,,,,,50.42,37.52,88.59,256.49,119.76,104.65,113.37,130.1,,,,,,,,,
