country,year,hour_utc,avg_price,indexed
ES,2024,4,64.97,1.0305
ES,2024,5,73.64,1.168
ES,2024,6,75.97,1.2049
ES,2024,7,69.22,1.0979
ES,2024,8,56.621,0.8981
ES,2024,9,46.83,0.7428
ES,2024,10,41.733,0.6619
ES,2024,11,39.486,0.6263
ES,2024,12,37.782,0.5992
ES,2024,13,36.74,0.5827
ES,2024,14,38.149,0.6051
ES,2024,15,46.296,0.7343
ES,2024,16,59.322,0.9409
ES,2024,17,75.956,1.2047
ES,2024,18,90.053,1.4283
ES,2024,19,98.775,1.5666
ES,2024,20,90.142,1.4297
ES,2024,21,80.981,1.2844
ES,2024,22,74.572,1.1828
ES,2024,23,68.793,1.0911
ES,2025,0,70.071,1.0733
ES,2025,1,66.472,1.0182
ES,2025,2,64.513,0.9882
ES,2025,3,65.022,0.996
ES,2025,4,70.14,1.0744
ES,2025,5,80.26,1.2294
ES,2025,6,83.275,1.2756
ES,2025,7,70.529,1.0803
ES,2025,8,51.226,0.7847
ES,2025,9,38.588,0.5911
ES,2025,10,32.573,0.4989
ES,2025,11,29.503,0.4519
ES,2025,12,27.654,0.4236
ES,2025,13,27.449,0.4205
ES,2025,14,31.003,0.4749
ES,2025,15,41.253,0.6319
ES,2025,16,58.958,0.9031
ES,2025,17,82.92,1.2701
ES,2025,18,105.431,1.6149
ES,2025,19,115.642,1.7713
ES,2025,20,104.249,1.5968
ES,2025,21,90.905,1.3924
ES,2025,22,83.637,1.2811
ES,2025,23,75.564,1.1575
ES,2026,0,67.953,1.2399
ES,2026,1,65.169,1.1891
ES,2026,2,63.238,1.1538
ES,2026,3,64.225,1.1718
ES,2026,4,69.254,1.2636
ES,2026,5,73.806,1.3467
ES,2026,6,67.803,1.2371
ES,2026,7,49.293,0.8994
ES,2026,8,31.237,0.57
ES,2026,9,21.8,0.3978
ES,2026,10,17.815,0.325
ES,2026,11,15.425,0.2814
ES,2026,12,15.293,0.279
ES,2026,13,15.543,0.2836
ES,2026,14,17.553,0.3203
ES,2026,15,22.198,0.405
ES,2026,16,33.54,0.612
ES,2026,17,61.294,1.1184
ES,2026,18,93.617,1.7081
ES,2026,19,108.358,1.9771
ES,2026,20,101.69,1.8554
ES,2026,21,87.365,1.5941
ES,2026,22,78.975,1.441
ES,2026,23,72.98,1.3316
FR,2019,0,31.967,0.8104
FR,2019,1,29.519,0.7483
FR,2019,2,27.523,0.6977
FR,2019,3,28.726,0.7282
FR,2019,4,33.017,0.837
FR,2019,5,39.706,1.0065
FR,2019,6,44.764,1.1347
FR,2019,7,45.641,1.157
FR,2019,8,44.37,1.1247
FR,2019,9,43.231,1.0959
FR,2019,10,41.939,1.0631
FR,2019,11,39.938,1.0124
FR,2019,12,37.805,0.9583
FR,2019,13,36.962,0.937
FR,2019,14,37.206,0.9432
FR,2019,15,40.011,1.0143
FR,2019,16,45.515,1.1538
FR,2019,17,49.503,1.2549
FR,2019,18,48.564,1.2311
FR,2019,19,44.997,1.1406
FR,2019,20,43.117,1.093
FR,2019,21,40.72,1.0322
FR,2019,22,37.42,0.9486
FR,2019,23,34.601,0.8771
FR,2020,0,25.288,0.7853
FR,2020,1,23.535,0.7308
FR,2020,2,22.084,0.6857
FR,2020,3,22.627,0.7026
FR,2020,4,26.199,0.8135
FR,2020,5,31.372,0.9742
FR,2020,6,35.919,1.1154
FR,2020,7,37.054,1.1506
FR,2020,8,36.026,1.1187
FR,2020,9,35.077,1.0892
FR,2020,10,34.667,1.0765
FR,2020,11,32.902,1.0217
FR,2020,12,30.595,0.95
FR,2020,13,29.323,0.9105
FR,2020,14,30.08,0.934
FR,2020,15,33.09,1.0275
FR,2020,16,38.517,1.196
FR,2020,17,43.517,1.3513
FR,2020,18,41.852,1.2996
FR,2020,19,37.459,1.1632
FR,2020,20,34.732,1.0785
FR,2020,21,33.116,1.0283
FR,2020,22,30.672,0.9524
FR,2020,23,27.194,0.8444
FR,2021,0,90.505,0.829
FR,2021,1,84.518,0.7741
FR,2021,2,79.124,0.7247
FR,2021,3,82.88,0.7591
FR,2021,4,96.149,0.8807
FR,2021,5,112.002,1.0259
FR,2021,6,125.401,1.1486
FR,2021,7,126.265,1.1565
FR,2021,8,121.478,1.1127
FR,2021,9,116.219,1.0645
FR,2021,10,113.511,1.0397
FR,2021,11,107.227,0.9822
FR,2021,12,100.611,0.9216
FR,2021,13,99.158,0.9082
FR,2021,14,102.214,0.9362
FR,2021,15,111.877,1.0247
FR,2021,16,127.367,1.1666
FR,2021,17,138.946,1.2727
FR,2021,18,136.163,1.2472
FR,2021,19,124.852,1.1436
FR,2021,20,116.57,1.0677
FR,2021,21,109.66,1.0044
FR,2021,22,101.951,0.9338
FR,2021,23,95.569,0.8754
FR,2022,0,232.288,0.842
FR,2022,1,221.567,0.8032
FR,2022,2,214.883,0.7789
FR,2022,3,223.023,0.8084
FR,2022,4,252.621,0.9157
FR,2022,5,290.904,1.0545
FR,2022,6,314.39,1.1396
FR,2022,7,307.066,1.1131
FR,2022,8,291.388,1.0563
FR,2022,9,283.256,1.0268
FR,2022,10,279.109,1.0117
FR,2022,11,264.963,0.9605
FR,2022,12,259.655,0.9412
FR,2022,13,255.844,0.9274
FR,2022,14,259.388,0.9403
FR,2022,15,281.401,1.0201
FR,2022,16,315.666,1.1443
FR,2022,17,345.018,1.2507
FR,2022,18,341.149,1.2366
FR,2022,19,315.782,1.1447
FR,2022,20,294.284,1.0668
FR,2022,21,279.009,1.0114
FR,2022,22,257.387,0.933
FR,2022,23,240.798,0.8729
FR,2023,0,83.301,0.8601
FR,2023,1,78.25,0.8079
FR,2023,2,73.449,0.7583
FR,2023,3,76.737,0.7923
FR,2023,4,87.202,0.9003
FR,2023,5,103.658,1.0702
FR,2023,6,113.648,1.1734
FR,2023,7,111.39,1.1501
FR,2023,8,101.888,1.052
FR,2023,9,93.205,0.9623
FR,2023,10,87.549,0.9039
FR,2023,11,79.577,0.8216
FR,2023,12,75.027,0.7746
FR,2023,13,77.828,0.8035
FR,2023,14,83.694,0.8641
FR,2023,15,96.084,0.992
FR,2023,16,115.822,1.1958
FR,2023,17,131.553,1.3582
FR,2023,18,131.912,1.3619
FR,2023,19,121.458,1.254
FR,2023,20,112.274,1.1592
FR,2023,21,104.325,1.0771
FR,2023,22,96.737,0.9988
FR,2023,23,87.972,0.9083
FR,2024,0,49.7,0.8566
FR,2024,1,44.568,0.7682
FR,2024,2,39.987,0.6892
FR,2024,3,42.23,0.7279
FR,2024,4,50.03,0.8623
FR,2024,5,63.171,1.0888
FR,2024,6,73.248,1.2625
FR,2024,7,69.278,1.194
FR,2024,8,59.287,1.0219
FR,2024,9,49.709,0.8568
FR,2024,10,44.844,0.7729
FR,2024,11,40.055,0.6904
FR,2024,12,36.7,0.6325
FR,2024,13,38.404,0.6619
FR,2024,14,44.374,0.7648
FR,2024,15,53.6,0.9238
FR,2024,16,69.621,1.2
FR,2024,17,86.532,1.4914
FR,2024,18,88.498,1.5253
FR,2024,19,81.725,1.4086
FR,2024,20,77.828,1.3414
FR,2024,21,72.42,1.2482
FR,2024,22,62.47,1.0767
FR,2024,23,54.187,0.9339
FR,2025,0,55.885,0.9149
FR,2025,1,50.341,0.8242
FR,2025,2,46.488,0.7611
FR,2025,3,47.561,0.7787
FR,2025,4,56.05,0.9176
FR,2025,5,69.337,1.1352
FR,2025,6,78.62,1.2872
FR,2025,7,73.483,1.2031
FR,2025,8,58.015,0.9498
FR,2025,9,45.81,0.75
FR,2025,10,40.438,0.662
FR,2025,11,35.529,0.5817
FR,2025,12,31.536,0.5163
FR,2025,13,33.506,0.5486
FR,2025,14,39.81,0.6518
FR,2025,15,51.673,0.846
FR,2025,16,70.85,1.1599
FR,2025,17,93.515,1.531
FR,2025,18,99.105,1.6225
FR,2025,19,91.921,1.5049
FR,2025,20,87.201,1.4276
FR,2025,21,79.601,1.3032
FR,2025,22,69.155,1.1322
FR,2025,23,60.508,0.9906
FR,2026,0,69.504,1.0692
FR,2026,1,62.616,0.9632
FR,2026,2,57.997,0.8922
FR,2026,3,60.232,0.9266
FR,2026,4,68.61,1.0554
FR,2026,5,79.401,1.2214
FR,2026,6,83.49,1.2843
FR,2026,7,70.565,1.0855
FR,2026,8,52.767,0.8117
FR,2026,9,38.88,0.5981
FR,2026,10,30.405,0.4677
FR,2026,11,22.888,0.3521
FR,2026,12,21.195,0.326
FR,2026,13,26.791,0.4121
FR,2026,14,33.711,0.5186
FR,2026,15,44.393,0.6829
FR,2026,16,66.423,1.0218
FR,2026,17,98.961,1.5223
FR,2026,18,113.723,1.7494
FR,2026,19,105.953,1.6299
FR,2026,20,100.001,1.5383
FR,2026,21,92.601,1.4245
FR,2026,22,82.707,1.2723
FR,2026,23,76.543,1.1775
IT,2019,0,43.739,0.8359
IT,2019,1,42.085,0.8043
IT,2019,2,41.341,0.79
IT,2019,3,42.427,0.8108
IT,2019,4,46.677,0.892
IT,2019,5,52.742,1.0079
IT,2019,6,57.183,1.0928
IT,2019,7,58.156,1.1114
IT,2019,8,55.812,1.0666
IT,2019,9,52.885,1.0106
IT,2019,10,49.374,0.9436
IT,2019,11,47.198,0.902
IT,2019,12,48.136,0.9199
IT,2019,13,50.46,0.9643
IT,2019,14,53.606,1.0244
IT,2019,15,56.579,1.0812
IT,2019,16,61.382,1.173
IT,2019,17,66.007,1.2614
IT,2019,18,66.646,1.2736
IT,2019,19,62.167,1.188
IT,2019,20,55.99,1.07
IT,2019,21,50.319,0.9616
IT,2019,22,48.431,0.9255
IT,2019,23,46.518,0.889
IT,2020,0,31.443,0.8083
IT,2020,1,29.767,0.7652
IT,2020,2,28.963,0.7445
IT,2020,3,30.009,0.7714
IT,2020,4,34.03,0.8747
IT,2020,5,39.492,1.0152
IT,2020,6,42.807,1.1004
IT,2020,7,43.485,1.1178
IT,2020,8,41.194,1.0589
IT,2020,9,39.042,1.0036
IT,2020,10,37.456,0.9628
IT,2020,11,35.523,0.9131
IT,2020,12,34.94,0.8981
IT,2020,13,36.208,0.9307
IT,2020,14,38.787,0.997
IT,2020,15,42.343,1.0884
IT,2020,16,47.451,1.2198
IT,2020,17,52.113,1.3396
IT,2020,18,51.895,1.334
IT,2020,19,46.868,1.2048
IT,2020,20,42.345,1.0885
IT,2020,21,37.866,0.9734
IT,2020,22,35.937,0.9238
IT,2020,23,33.687,0.8659
IT,2021,0,107.79,0.8591
IT,2021,1,104.107,0.8297
IT,2021,2,102.893,0.82
IT,2021,3,105.122,0.8378
IT,2021,4,114.892,0.9157
IT,2021,5,127.904,1.0194
IT,2021,6,138.119,1.1008
IT,2021,7,139.278,1.11
IT,2021,8,134.253,1.07
IT,2021,9,129.003,1.0281
IT,2021,10,124.253,0.9903
IT,2021,11,119.987,0.9563
IT,2021,12,119.254,0.9504
IT,2021,13,122.392,0.9754
IT,2021,14,127.967,1.0199
IT,2021,15,134.32,1.0705
IT,2021,16,144.192,1.1492
IT,2021,17,152.769,1.2175
IT,2021,18,149.136,1.1886
IT,2021,19,138.201,1.1014
IT,2021,20,127.382,1.0152
IT,2021,21,119.266,0.9505
IT,2021,22,115.98,0.9243
IT,2021,23,112.899,0.8998
IT,2022,0,265.06,0.872
IT,2022,1,258.176,0.8494
IT,2022,2,255.521,0.8407
IT,2022,3,261.029,0.8588
IT,2022,4,284.208,0.935
IT,2022,5,315.366,1.0375
IT,2022,6,334.639,1.101
IT,2022,7,327.972,1.079
IT,2022,8,309.965,1.0198
IT,2022,9,298.275,0.9813
IT,2022,10,288.075,0.9478
IT,2022,11,276.159,0.9086
IT,2022,12,276.842,0.9108
IT,2022,13,285.46,0.9392
