country,year,tech,capacity_mw
IT,2020,Oil & other fossil,1493.0
IT,2020,Geothermal,869.0
IT,2020,Hydro pumped (production),7276.0
IT,2020,Hydro run-of-river,10441.0
IT,2020,Hydro reservoir,4459.0
IT,2020,Marine,0.0
IT,2020,Other,1394.0
IT,2020,Other renewable,0.0
IT,2020,Solar,4874.0
IT,2020,Waste,125.0
IT,2020,Offshore wind,0.0
IT,2020,Onshore wind,10224.0
IT,2021,Biomass,1587.0
IT,2021,Lignite,0.0
IT,2021,Gas,43989.0
IT,2021,Hard coal,6987.0
IT,2021,Oil & other fossil,1480.0
IT,2021,Geothermal,869.0
IT,2021,Hydro pumped (production),7276.0
IT,2021,Hydro run-of-river,10472.0
IT,2021,Hydro reservoir,4454.0
